CÓDIGO,CUENTA,BP GUAYAQUIL,BP PACIFICO,BP PICHINCHA,BP PRODUBANCO,BANCOS PRIVADOS GRANDES,BP AUSTRO,BP BOLIVARIANO,BP CITIBANK,BP DINERS,BP GENERAL RUMIÑAHUI,BP INTERNACIONAL,BP LOJA,BP MACHALA,BP SOLIDARIO,BANCOS PRIVADOS MEDIANOS,BP PROCREDIT,BP AMAZONAS,BP BANCO COMERCIAL DE MANABI,BP LITORAL,BP COOPNACIONAL,BP CAPITAL,BP DELBANK,BANCO ATLÁNTIDA S.A.,"BP BANCO  DESARROLLO DE LOS PUEBLOS  S.A., CODESARROLLO",BP VISIONFUND ECUADOR S.A.,BANCOS PRIVADOS PEQUEÑOS,TOTAL BANCOS PRIVADOS,BANCOS PRIVADOS COMERCIALES,BANCOS PRIVADOS CONSUMO,BANCOS PRIVADOS MICROCRÉDITO,BANCA MÚLTIPLE
11.0,FONDOS DISPONIBLES,843307.42445,948404.05548,2215196.8142,688955.6781,4695863.97223,457484.32803,690082.9102,150417.759,239096.85822,233520.28952,753035.71989,210699.99377,207690.2017,71324.58392,3013352.64425,99858.32484,57650.79378,14099.2313,3098.79923,52603.33586,3430.39523,8250.2261,11785.31756,59843.75429,13453.22546,324073.40365,8033290.02013,903453.47889,475715.94697,25238.54302,6628882.05125
12.0,OPERACIONES INTERBANCARIAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,INVERSIONES,1656178.19457,2037188.90509,4295950.53138,1613194.40338,9602512.03442,634732.41666,1041109.70308,256715.831,244967.77459,217486.56008,664377.65183,121253.3859,151115.21935,86563.84922,3418322.39171,100299.61586,87459.77401,33906.12243,5115.04258,132958.89712,8240.93321,5154.8041,43773.33679,51900.82348,4358.25514,473167.60472,13494002.03085,921093.48283,467569.37725,48131.59193,12057207.57884
14.0,CARTERA DE CRÉDITOS,6132105.34403,5465388.99385,12265203.04355,5800570.29916,29663267.68059,1753194.45375,3843434.68276,321564.161,2467693.39403,848213.56852,4008518.6694,601311.97459,757994.43051,556461.59933,15158386.93389,484682.96119,224307.04053,61782.2879,30065.75557,35835.81141,41678.36131,26274.77069,52687.42022,202427.68106,137078.59874,1296820.68862,46118475.3031,4330082.8304,3345972.71812,189766.01896,38252653.73562
15.0,DEUDORES POR ACEPTACIONES,208.2848,33.65,550.51938,0.0,792.45418,0.0,25948.71291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25948.71291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26741.16709,0.0,0.0,0.0,26741.16709
16.0,CUENTAS POR COBRAR,123227.97304,153022.89244,445221.97921,90308.67471,811781.5194,79517.33333,65919.94742,7039.905,77771.36291,39155.73569,68666.64809,10432.12532,18152.00957,9310.66564,375965.73297,8009.93379,11484.26076,9289.24712,296.81527,1087.75443,3000.26604,926.42772,1429.98907,4723.63854,2081.02618,42329.35892,1230076.61129,75706.55309,117223.91387,3511.01525,1033635.12908
17.0,"BIENES REALIZABLES, ADJUDICADOS POR PAGO, DE ARRENDAMIENTO MERCANTIL Y NO UTILIZADOS POR LA INSTITUCIÓN",2581.60629,18875.46709,29641.29342,25390.11977,76488.48657,2073.25704,0.0,0.0,0.0,355.12007,10647.5381,1168.82927,4209.62218,385.69014,18840.0568,4145.56582,965.11837,396.19738,73.14076,124.01966,511.28056,0.0,0.0,1002.59165,0.0,7217.9142,102546.45757,10647.5381,428.26083,0.0,91470.65864
18.0,PROPIEDADES Y EQUIPO,134519.8226,112642.41449,213752.53829,102996.67961,563911.45499,66642.74254,52432.95433,3098.31,6332.32865,4936.78863,36032.01455,10570.68894,16677.13395,14956.19116,211679.15275,2775.87208,9384.16898,3921.5559,395.11966,1675.24117,7386.46758,66.5739,1909.1799,6973.02495,470.5128,34957.71692,810548.32466,39130.32455,11664.23694,2379.6927,757374.07047
19.0,OTROS ACTIVOS,361174.87721,596207.88799,1610871.03475,284055.99529,2852309.79524,292220.01326,168630.46398,20715.365,202048.72944,43652.44649,172996.26438,27701.44373,36313.93876,36989.18257,1001267.84761,19713.24748,31618.04356,6215.43675,2727.53202,4456.4359,5453.92627,1447.27391,8635.52045,6191.02007,2648.53149,89106.9679,3942684.61075,193711.62938,248428.70795,11284.05194,3489260.22148
1.0,TOTAL ACTIVO,9253303.52699,9331764.26643,21076387.75418,8605471.85002,48266927.39762,3285864.54461,5887559.37468,759551.331,3237910.44784,1387320.509,5714274.50624,983138.44152,1192152.55602,775991.76198,23223763.47289,719485.52106,422869.19999,129610.07878,41772.20509,228741.49555,69701.6302,42120.07642,120220.76399,333062.53404,160090.14981,2267673.65493,73758364.52544,6473825.83724,4667003.16193,280310.9138,62337224.61247
4.0,GASTOS,737927.22298,719138.07327,1809511.57831,634448.20636,3901025.08092,241846.24423,350973.64468,31885.731,416237.42465,111528.94566,340159.73767,71662.01434,81369.64358,114087.78253,1759751.16834,56882.1502,33199.66081,8800.61622,3765.58175,9492.08701,7360.08961,4152.82696,13755.01371,28737.88889,21604.23001,187750.14517,5848526.39443,372045.46867,531531.95206,35359.24372,4909589.72998
21.0,OBLIGACIONES CON EL PÚBLICO,7244349.75327,7442496.39837,17116551.14334,6670791.98435,38474189.27933,2771292.19188,4484758.98171,609425.678,1740725.34193,1119433.58993,4711456.1119,798693.58928,979762.29352,334578.19321,17550125.97136,589494.52437,355283.34131,109251.06817,27369.22387,188937.0815,54576.17947,25875.9378,97884.69665,251752.72416,56616.04888,1757040.82618,57781356.07687,5320881.7899,2887528.15573,154500.74553,49418445.38571
22.0,OPERACIONES INTERBANCARIAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,OBLIGACIONES INMEDIATAS,13259.92535,80340.40431,51122.42535,14029.31335,158752.06836,4667.65959,26598.84092,498.8,0.0,5143.94008,15526.4418,1018.14929,1330.28846,0.0,54784.12014,44.62827,2471.29392,2.373,26.44502,545.22989,8.59719,799.0101,35.32737,198.5337,0.0,4131.43846,217667.62696,16025.2418,5170.3851,35.32737,196436.67269
24.0,ACEPTACIONES EN CIRCULACIÓN,208.2848,33.65,550.51938,0.0,792.45418,0.0,25948.71291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25948.71291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26741.16709,0.0,0.0,0.0,26741.16709
25.0,CUENTAS POR PAGAR,295724.68312,285096.18995,551353.77676,254546.86128,1386721.51111,69214.55222,168587.76007,36887.067,637248.68509,49072.09038,192626.5672,21870.56258,24474.49194,36042.88547,1236024.66195,15450.0941,11349.17863,1854.82241,1370.01099,4179.12421,3703.43413,3521.31085,1997.95614,9551.59392,6942.42317,59919.94855,2682666.12161,229513.6342,687690.78646,8940.37931,1756521.32164
26.0,OBLIGACIONES FINANCIERAS,722638.96169,382726.39843,885796.20386,687613.48862,2678775.0526,145593.75,455489.07021,0.0,164166.66667,57163.45065,212346.48791,61519.96037,72546.1477,243441.75001,1412267.28352,55335.33336,5585.18747,0.0,999.90389,0.0,0.0,0.0,7500.0,32428.66924,70911.72065,172760.81461,4263803.15073,212346.48791,222330.02121,78411.72065,3750714.92096
27.0,VALORES EN CIRCULACIÓN,28702.0,0.0,37500.0,23336.0,89538.0,0.0,53336.0,0.0,0.0,0.0,29670.0,0.0,0.0,12816.0,95822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185360.0,29670.0,0.0,0.0,155690.0
28.0,OBLIGACIONES CONVERTIBLES EN ACCIONES Y APORTES PARA FUTURA CAPITALIZACIÓN,74535.68827,0.0,193750.0,198500.0,466785.68827,10997.07379,55000.0,0.0,0.0,19279.21559,0.0,0.0,22318.361,0.0,107594.65038,11764.93725,5999.522,0.0,0.001,0.0,0.0,0.0,0.0,1094.81321,0.0,18859.27346,593239.61211,0.0,19279.21659,0.0,573960.39552
29.0,OTROS PASIVOS,5124.89032,86914.3975,111623.00896,63658.91849,267321.21527,4912.40422,30371.9276,1727.941,110494.11608,6483.63689,172.73208,11231.47405,1421.33874,2448.76659,169264.33725,206.84941,1957.38666,259.23426,175.14955,47.764,504.68584,110.67821,60.80351,526.55532,149.90463,3999.01139,440584.56391,1900.67308,117152.90252,210.70814,321320.28017
2.0,TOTAL PASIVOS,8384544.18682,8277607.43856,18948247.07765,7912476.56609,43522875.26912,3006677.6317,5300091.29342,648539.486,2652634.80977,1256575.92352,5161798.34089,894333.73557,1101852.92136,629327.59528,20651831.73751,672296.36676,382645.90999,111367.49784,29940.73432,193709.1996,58792.89663,30306.93696,107478.78367,295552.88955,134620.09733,2016711.31265,66191418.31928,5810337.82689,3939151.46761,242098.881,56199830.14378
31.0,CAPITAL SOCIAL,646103.0,645966.043,1457000.0,547720.0,3296789.043,199570.0,445000.0,76065.364,400000.0,101836.146,413420.069,61527.0,71946.0,111107.138,1880471.717,52979.0,35465.01,15763.1,11210.657,24866.788,16050.0,11671.86374,14920.0,28587.8,20456.1,231970.31874,5409231.07874,489485.433,513046.803,35376.1,4371322.74274
32.0,PRIMA O DESCUENTO EN COLOCACIÓN DE ACCIONES Y CERTIFICADOS,0.0,0.0,0.0,1104.7742,1104.7742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104.7742,0.0,0.0,0.0,1104.7742
33.0,RESERVAS,115381.911,188231.56401,250811.48402,81804.75483,636229.71386,32148.79037,70802.591,15264.911,129064.91099,15096.54276,72148.68649,12416.47799,6573.50976,24191.60137,377708.02173,1605.20655,1631.86861,1290.72577,444.27202,7933.02877,0.0,113.81248,0.0,3530.10392,1796.54872,18345.56684,1032283.30243,87413.59749,144605.72577,1796.54872,798467.43045
