CÓDIGO,CUENTA,BP GUAYAQUIL,BP PACIFICO,BP PICHINCHA,BP PRODUBANCO,BANCOS PRIVADOS GRANDES,BP AUSTRO,BP BOLIVARIANO,BP CITIBANK,BP DINERS,BP GENERAL RUMIÑAHUI,BP INTERNACIONAL,BP LOJA,BP MACHALA,BP SOLIDARIO,BANCOS PRIVADOS MEDIANOS,BP PROCREDIT,BP AMAZONAS,BP BANCO COMERCIAL DE MANABI,BP LITORAL,BP COOPNACIONAL,BP CAPITAL,BP DELBANK,BANCO ATLÁNTIDA S.A.,"BP BANCO  DESARROLLO DE LOS PUEBLOS  S.A., CODESARROLLO",BP VISIONFUND ECUADOR S.A.,BANCOS PRIVADOS PEQUEÑOS,TOTAL BANCOS PRIVADOS,BANCOS PRIVADOS COMERCIALES,BANCOS PRIVADOS CONSUMO,BANCOS PRIVADOS MICROCRÉDITO,BANCA MÚLTIPLE
,CARTERA BRUTA,6362355.32652,5868502.62004,13788726.0013,6104461.32977,32124045.27763,1818575.3738,3959286.52407,337432.228,2673768.066,933599.22651,4166198.10172,666451.40489,789963.22415,616029.28607,15961303.43521,504110.681,235759.80503,63050.83156,32767.13871,38306.40081,44413.42709,27019.07688,57401.61548,221062.0246,147584.31598,1371475.31714,49456824.02998,4503630.32972,3640134.43122,204985.93146,41108073.33758
1401,CARTERA DE CRÉDITOS PRODUCTIVO POR VENCER,3063713.94853,1669616.38338,5328160.94005,3451371.64489,13512862.91685,518614.98988,2745796.99887,337432.227,154592.8658,69846.23366,3282131.14418,170437.35922,501898.88241,26.89882,7780777.59984,269924.84343,109535.67161,28905.52847,5829.30574,35580.31402,758.31295,20150.58647,3632.7054,30876.32559,0.0,505193.59368,21798834.11037,3619563.37118,230268.4052,3632.7054,17945369.62859
1402,CARTERA DE CRÉDITOS DE CONSUMO POR VENCER,2403455.05558,3183508.89872,4573450.16736,1904929.59164,12065343.7133,1081965.27834,984867.45867,0.0,2192720.47303,671479.21028,583153.90508,261787.69943,166015.71822,269792.11927,6211781.86232,12241.20183,100108.121,22435.83409,19452.52185,412.97466,27557.04075,3665.45769,6727.98023,84492.86382,2504.56473,279598.56065,18556724.13627,583153.90508,2883652.20516,9232.54496,15080685.48107
1403,CARTERA DE CRÉDITOS INMOBILIARIO POR VENCER,213529.64492,445758.14981,909471.60669,300616.47822,1869375.87964,53628.17517,148524.58279,0.0,166.47784,111217.33253,152747.47355,55709.30351,42106.56448,0.0,564099.90987,25903.70018,3590.6786,0.0,0.0,220.26904,0.0,1301.86144,125.0,25962.30883,0.0,57103.81809,2490579.6076,152747.47355,111383.81037,125.0,2226323.32368
1404,CARTERA DE CRÉDITOS PARA MICROCRÉDITO POR VENCER,407911.7916,9699.13616,1811439.01811,50076.42871,2279126.37458,11723.84572,585.89012,0.0,9565.05418,365.19319,5071.10147,126995.48733,7972.45543,303888.85035,466167.87779,140268.52989,6489.54293,7760.94651,1005.07892,2077.6182,14783.23968,232.64934,37928.97481,54203.69494,135741.93844,400492.21366,3145786.46603,5071.10147,10935.32629,173670.91325,2956109.12502
1408,CARTERA DE CRÉDITO DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO POR VENCER,0.0,1987.35964,16687.17628,0.0,18674.53592,0.0,0.0,0.0,0.0,8168.43406,292.90073,0.0,0.0,0.0,8461.33479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27135.87071,292.90073,8168.43406,0.0,18674.53592
1409,CARTERA DE CRÉDITOS PRODUCTIVO REFINANCIADA POR VENCER,13900.14744,97384.19778,42504.25536,8568.29944,162356.90002,75727.27832,0.0,0.0,2053.89461,5843.69222,29574.63545,6284.78765,29149.11103,0.0,148633.39928,12065.91022,1067.82785,427.35755,1477.81227,0.0,0.0,815.55862,0.0,811.20507,0.0,16665.67158,327655.97088,29574.63545,9375.3991,0.0,288705.93633
1410,CARTERA DE CRÉDITOS CONSUMO REFINANCIADA POR VENCER,56329.96122,45.97639,39871.4234,89782.69764,186030.05865,9785.27043,868.79929,0.0,22251.14728,22539.05332,560.5363,4689.22649,6026.3403,1089.09618,67809.46959,225.59423,4603.89487,27.3182,1542.1843,0.0,213.35503,412.47331,0.0,1356.24874,0.0,8381.06868,262220.59692,560.5363,46332.3849,0.0,215327.67572
1411,CARTERA DE CRÉDITOS INMOBILIARIO REFINANCIADA POR VENCER,14447.09453,4277.89684,5310.31664,1953.70176,25989.00977,2512.6106,1300.96146,0.0,0.0,3307.59144,951.09521,897.86057,703.1556,0.0,9673.27488,1186.6304,0.0,0.0,37.90622,0.0,0.0,12.91639,0.0,716.35025,0.0,1953.80326,37616.08791,951.09521,3345.49766,0.0,33319.49504
1412,CARTERA DE CRÉDITOS PARA MICROCRÉDITO REFINANCIADA POR VENCER,4461.74337,0.0,3894.21875,398.29201,8754.25413,216.91224,0.0,0.0,112.15312,0.0,101.19663,4864.58997,459.66979,1847.65214,7602.17389,7878.45304,0.0,90.35654,0.0,0.0,78.77193,0.0,2061.99179,3283.57708,1067.83153,14460.98191,30817.40993,101.19663,112.15312,3129.82332,27474.23686
