NOMBRE DEL INDICADOR,Banks,Valor Indicador
FONDOS DISPONIBLES,BP GUAYAQUIL,843307.42445
OPERACIONES INTERBANCARIAS,BP GUAYAQUIL,0.0
INVERSIONES,BP GUAYAQUIL,1656178.19457
CARTERA DE CRÉDITOS,BP GUAYAQUIL,6132105.34403
DEUDORES POR ACEPTACIONES,BP GUAYAQUIL,208.2848
CUENTAS POR COBRAR,BP GUAYAQUIL,123227.97304
"BIENES REALIZABLES, ADJUDICADOS POR PAGO, DE ARRENDAMIENTO MERCANTIL Y NO UTILIZADOS POR LA INSTITUCIÓN",BP GUAYAQUIL,2581.60629
PROPIEDADES Y EQUIPO,BP GUAYAQUIL,134519.8226
OTROS ACTIVOS,BP GUAYAQUIL,361174.87721
TOTAL ACTIVO,BP GUAYAQUIL,9253303.52699
GASTOS,BP GUAYAQUIL,737927.22298
OBLIGACIONES CON EL PÚBLICO,BP GUAYAQUIL,7244349.75327
OPERACIONES INTERBANCARIAS,BP GUAYAQUIL,0.0
OBLIGACIONES INMEDIATAS,BP GUAYAQUIL,13259.92535
ACEPTACIONES EN CIRCULACIÓN,BP GUAYAQUIL,208.2848
CUENTAS POR PAGAR,BP GUAYAQUIL,295724.68312
OBLIGACIONES FINANCIERAS,BP GUAYAQUIL,722638.96169
VALORES EN CIRCULACIÓN,BP GUAYAQUIL,28702.0
OBLIGACIONES CONVERTIBLES EN ACCIONES Y APORTES PARA FUTURA CAPITALIZACIÓN,BP GUAYAQUIL,74535.68827
OTROS PASIVOS,BP GUAYAQUIL,5124.89032
TOTAL PASIVOS,BP GUAYAQUIL,8384544.18682
CAPITAL SOCIAL,BP GUAYAQUIL,646103.0
PRIMA O DESCUENTO EN COLOCACIÓN DE ACCIONES Y CERTIFICADOS,BP GUAYAQUIL,0.0
RESERVAS,BP GUAYAQUIL,115381.911
OTROS APORTES PATRIMONIALES,BP GUAYAQUIL,0.0
SUPERÁVIT POR VALUACIONES,BP GUAYAQUIL,6698.02457
RESULTADOS,BP GUAYAQUIL,0.0
(DESVALORIZACIÓN DEL PATRIMONIO),BP GUAYAQUIL,0.0
TOTAL PATRIMONIO,BP GUAYAQUIL,768182.93557
INGRESOS,BP GUAYAQUIL,838503.62758
CUENTAS CONTINGENTES,BP GUAYAQUIL,2634537.77269
DEUDORAS,BP GUAYAQUIL,0.0
DEUDORAS POR CONTRA,BP GUAYAQUIL,0.0
ACREEDORAS POR CONTRA,BP GUAYAQUIL,0.0
ACREEDORAS,BP GUAYAQUIL,2634537.77269
CUENTAS DE ORDEN,BP GUAYAQUIL,26032865.92783
CUENTAS DE ORDEN DEUDORAS,BP GUAYAQUIL,2101214.65922
DEUDORAS POR CONTRA,BP GUAYAQUIL,0.0
ACREEDORAS POR CONTRA,BP GUAYAQUIL,0.0
CUENTAS DE ORDEN ACREEDORAS,BP GUAYAQUIL,23931651.26861
FONDOS DISPONIBLES,BP PACIFICO,948404.05548
OPERACIONES INTERBANCARIAS,BP PACIFICO,0.0
INVERSIONES,BP PACIFICO,2037188.90509
CARTERA DE CRÉDITOS,BP PACIFICO,5465388.99385
DEUDORES POR ACEPTACIONES,BP PACIFICO,33.65
CUENTAS POR COBRAR,BP PACIFICO,153022.89244
"BIENES REALIZABLES, ADJUDICADOS POR PAGO, DE ARRENDAMIENTO MERCANTIL Y NO UTILIZADOS POR LA INSTITUCIÓN",BP PACIFICO,18875.46709
PROPIEDADES Y EQUIPO,BP PACIFICO,112642.41449
OTROS ACTIVOS,BP PACIFICO,596207.88799
TOTAL ACTIVO,BP PACIFICO,9331764.26643
GASTOS,BP PACIFICO,719138.07327
OBLIGACIONES CON EL PÚBLICO,BP PACIFICO,7442496.39837
OPERACIONES INTERBANCARIAS,BP PACIFICO,0.0
OBLIGACIONES INMEDIATAS,BP PACIFICO,80340.40431
ACEPTACIONES EN CIRCULACIÓN,BP PACIFICO,33.65
CUENTAS POR PAGAR,BP PACIFICO,285096.18995
OBLIGACIONES FINANCIERAS,BP PACIFICO,382726.39843
VALORES EN CIRCULACIÓN,BP PACIFICO,0.0
OBLIGACIONES CONVERTIBLES EN ACCIONES Y APORTES PARA FUTURA CAPITALIZACIÓN,BP PACIFICO,0.0
OTROS PASIVOS,BP PACIFICO,86914.3975
TOTAL PASIVOS,BP PACIFICO,8277607.43856
CAPITAL SOCIAL,BP PACIFICO,645966.043
PRIMA O DESCUENTO EN COLOCACIÓN DE ACCIONES Y CERTIFICADOS,BP PACIFICO,0.0
RESERVAS,BP PACIFICO,188231.56401
OTROS APORTES PATRIMONIALES,BP PACIFICO,0.0
SUPERÁVIT POR VALUACIONES,BP PACIFICO,67461.44719
RESULTADOS,BP PACIFICO,7173.02719
(DESVALORIZACIÓN DEL PATRIMONIO),BP PACIFICO,0.0
TOTAL PATRIMONIO,BP PACIFICO,908832.08139
INGRESOS,BP PACIFICO,864462.81975
CUENTAS CONTINGENTES,BP PACIFICO,3630609.92848
DEUDORAS,BP PACIFICO,0.0
DEUDORAS POR CONTRA,BP PACIFICO,0.0
ACREEDORAS POR CONTRA,BP PACIFICO,0.0
ACREEDORAS,BP PACIFICO,3630609.92848
CUENTAS DE ORDEN,BP PACIFICO,19757356.64722
CUENTAS DE ORDEN DEUDORAS,BP PACIFICO,6080354.92949
DEUDORAS POR CONTRA,BP PACIFICO,0.0
ACREEDORAS POR CONTRA,BP PACIFICO,0.0
CUENTAS DE ORDEN ACREEDORAS,BP PACIFICO,13677001.71773
FONDOS DISPONIBLES,BP PICHINCHA,2215196.8142
OPERACIONES INTERBANCARIAS,BP PICHINCHA,0.0
INVERSIONES,BP PICHINCHA,4295950.53138
CARTERA DE CRÉDITOS,BP PICHINCHA,12265203.04355
DEUDORES POR ACEPTACIONES,BP PICHINCHA,550.51938
CUENTAS POR COBRAR,BP PICHINCHA,445221.97921
"BIENES REALIZABLES, ADJUDICADOS POR PAGO, DE ARRENDAMIENTO MERCANTIL Y NO UTILIZADOS POR LA INSTITUCIÓN",BP PICHINCHA,29641.29342
PROPIEDADES Y EQUIPO,BP PICHINCHA,213752.53829
OTROS ACTIVOS,BP PICHINCHA,1610871.03475
TOTAL ACTIVO,BP PICHINCHA,21076387.75418
GASTOS,BP PICHINCHA,1809511.57831
OBLIGACIONES CON EL PÚBLICO,BP PICHINCHA,17116551.14334
OPERACIONES INTERBANCARIAS,BP PICHINCHA,0.0
OBLIGACIONES INMEDIATAS,BP PICHINCHA,51122.42535
ACEPTACIONES EN CIRCULACIÓN,BP PICHINCHA,550.51938
CUENTAS POR PAGAR,BP PICHINCHA,551353.77676
OBLIGACIONES FINANCIERAS,BP PICHINCHA,885796.20386
VALORES EN CIRCULACIÓN,BP PICHINCHA,37500.0
OBLIGACIONES CONVERTIBLES EN ACCIONES Y APORTES PARA FUTURA CAPITALIZACIÓN,BP PICHINCHA,193750.0
OTROS PASIVOS,BP PICHINCHA,111623.00896
TOTAL PASIVOS,BP PICHINCHA,18948247.07765
CAPITAL SOCIAL,BP PICHINCHA,1457000.0
PRIMA O DESCUENTO EN COLOCACIÓN DE ACCIONES Y CERTIFICADOS,BP PICHINCHA,0.0
RESERVAS,BP PICHINCHA,250811.48402
OTROS APORTES PATRIMONIALES,BP PICHINCHA,0.0
SUPERÁVIT POR VALUACIONES,BP PICHINCHA,159802.42603
RESULTADOS,BP PICHINCHA,100000.02136
(DESVALORIZACIÓN DEL PATRIMONIO),BP PICHINCHA,0.0
TOTAL PATRIMONIO,BP PICHINCHA,1967613.93141
INGRESOS,BP PICHINCHA,1970038.32343
CUENTAS CONTINGENTES,BP PICHINCHA,5181770.26361
DEUDORAS,BP PICHINCHA,189435.34186
DEUDORAS POR CONTRA,BP PICHINCHA,0.0
ACREEDORAS POR CONTRA,BP PICHINCHA,0.0
ACREEDORAS,BP PICHINCHA,4992334.92175
CUENTAS DE ORDEN,BP PICHINCHA,50057803.5198
CUENTAS DE ORDEN DEUDORAS,BP PICHINCHA,8899308.93227
DEUDORAS POR CONTRA,BP PICHINCHA,0.0
ACREEDORAS POR CONTRA,BP PICHINCHA,0.0
CUENTAS DE ORDEN ACREEDORAS,BP PICHINCHA,41158494.58753
FONDOS DISPONIBLES,BP PRODUBANCO,688955.6781
OPERACIONES INTERBANCARIAS,BP PRODUBANCO,0.0
INVERSIONES,BP PRODUBANCO,1613194.40338
CARTERA DE CRÉDITOS,BP PRODUBANCO,5800570.29916
DEUDORES POR ACEPTACIONES,BP PRODUBANCO,0.0
