NOMBRE DEL INDICADOR,BP GUAYAQUIL,BP PACIFICO,BP PICHINCHA,BP PRODUBANCO,BANCOS PRIVADOS GRANDES,BP AUSTRO,BP BOLIVARIANO,BP CITIBANK,BP DINERS,BP GENERAL RUMIÑAHUI,BP INTERNACIONAL,BP LOJA,BP MACHALA,BP SOLIDARIO,BANCOS PRIVADOS MEDIANOS,BP PROCREDIT,BP AMAZONAS,BP BANCO COMERCIAL DE MANABI,BP LITORAL,BP COOPNACIONAL,BP CAPITAL,BP DELBANK,BANCO ATLÁNTIDA S.A.,"BP BANCO  DESARROLLO DE LOS PUEBLOS  S.A., CODESARROLLO",BP VISIONFUND ECUADOR S.A.,BANCOS PRIVADOS PEQUEÑOS,TOTAL BANCOS PRIVADOS,BANCOS PRIVADOS COMERCIALES,BANCOS PRIVADOS CONSUMO,BANCOS PRIVADOS MICROCRÉDITO,BANCA MÚLTIPLE
( PATRIMONIO + RESULTADOS ) / ACTIVOS INMOVILIZADOS NETOS (3) (6),2.3585766951,5.3864004428,9.1929018718,2.9654891044,4.6093103102,0.8305337745,3.9245835381,209.8498788294,3.0557842294,11.1914910036,5.6028790483,-10.7174793642,2.0746958436,4.9196078825,3.0143085381,1.9983392889,0.9924083051,0.9241810055,3.6750750992,30.5729315213,0.8615708896,8.3112534204,1.2657482121,2.7844221725,12.9846141561,1.9632207277,3.7640777096,6.69278816,3.5258614486,3.1768403463,3.6257799448
ACTIVOS IMPRODUCTIVOS NETOS / TOTAL ACTIVOS,0.089693287,0.1199285162,0.067251912,0.0743803407,0.0830094097,0.176375858,0.0936186749,0.1251936678,0.1003976157,0.0804933042,0.1055791421,0.1296157861,0.112720734,0.0888155728,0.1118083695,0.1133987023,0.1598511081,0.2086367637,0.144835618,0.0692447994,0.2178321353,0.1182532449,0.1349110278,0.0931000537,0.0381775627,0.1197785724,0.0932075845,0.1078804457,0.0948785738,0.079664963,0.091619578
ACTIVOS PRODUCTIVOS / TOTAL ACTIVOS,0.910306713047,0.880071483814,0.932748088042,0.925619659298,0.916990590283,0.823624142024,0.906381325136,0.874806332214,0.899602384267,0.919506695824,0.894420857939,0.870384213913,0.887279266012,0.911184427159,0.888191630458,0.886601297703,0.840148891899,0.791363236297,0.855164381986,0.930755200573,0.782167864705,0.88174675515,0.865088972223,0.906899946284,0.96182243725,0.880221427563,0.906792415504,0.892119554275,0.905121426231,0.920335037023,0.90838042197
ACTIVOS PRODUCTIVOS / PASIVOS CON COSTO,1.183135621948,1.206405372366,1.322379885909,1.37429277295,1.279593269928,0.985880173634,1.278078008974,5.714103056001,1.529142924841,1.120581150776,1.109360823777,1.105622328055,1.150277693666,1.196930966989,1.215410957226,0.992197915496,1.036698602727,1.005899953532,1.507889652981,1.12802012155,0.999780975973,1.542029614827,0.986876277733,1.063060890654,1.207409951868,1.052954635029,1.251179596264,1.222723615396,1.37732989629,1.107626223109,1.246358172359
MOROSIDAD CARTERA INMOBILIARIO Y VIVIENDA DE INTERES PÚBLICO,0.0292701186,0.0457807835,0.0329807586,0.026687448,0.0346096896,0.0434347699,0.0173895298,0.0,0.0,0.0175234123,0.0236062538,0.0136061902,0.011400133,1.0,0.0208175844,0.0086373527,0.0,0.0,0.0267916996,1.81593e-05,0.0,3.0246e-06,0.0,0.0073232332,0.0,0.0072954489,0.0309698448,0.0236062538,0.0175035341,0.0,0.0321614873
MOROSIDAD DE LA CARTERA DE CRÉDITOS PRODUCTIVOS NUEVO,0.0098289207,0.010904204,0.0182626458,0.011250446,0.0136786581,0.0084890978,0.0026419056,3e-09,0.0448905528,0.02502836,0.0039905989,0.0176298041,0.0129418227,0.0008172114,0.0056897364,0.0462463654,0.0136156936,0.009218718,0.0369276754,0.0,9.36201e-05,0.0110801906,0.0,0.0107924986,0.0,0.0306845652,0.0112600674,0.0036268974,0.0384160183,0.0,0.0124007409
MOROSIDAD DE LA CARTERA DE CREDITOS CONSUMO,0.0374012404,0.0348867185,0.0546622476,0.0555460608,0.046399163,0.0405868556,0.0537399112,0.0,0.0613677758,0.0363228915,0.0744882097,0.0431852081,0.0582969256,0.0514325577,0.0539983562,0.0307236574,0.0560120144,0.0854215067,0.111980475,0.0031692955,0.0137714651,0.0398800403,0.000928244,0.0638905486,0.0059334456,0.0581769555,0.0491248823,0.0744882097,0.0561460149,0.0022910086,0.0467824295
"MOROSIDAD DE LA CARTERA DE CRÉDITOS INMOBILIARIO
",0.0292701186,0.0437907971,0.0335248483,0.026687448,0.0343996513,0.0434347699,0.0173895298,0.0,0.0,0.0156130066,0.0236493909,0.0136061902,0.011400133,1.0,0.0204899561,0.0086373527,0.0,0.0,0.0267916996,1.81593e-05,0.0,3.0246e-06,0.0,0.0073232332,0.0,0.0072954489,0.0307444519,0.0236493909,0.0155949799,0.0,0.0319632092
MOROSIDAD DE LA CARTERA DE CRÉDITOS MICROCRÉDITO,0.0687195565,0.0165268878,0.0715398602,0.0254565324,0.0699190513,0.1099772137,0.0299588013,0.0,0.0582298356,0.0462641546,0.0141322106,0.0475065467,0.1289869321,0.0675184934,0.0636003306,0.0291580488,0.0010738658,0.0816795156,0.1854623847,0.0066496373,0.0214570299,0.0002449439,0.0953125963,0.1621103967,0.0563434745,0.0659146466,0.0685074948,0.0141322106,0.0709008044,0.0658657244,0.0687351391
MOROSIDAD DE LA CARTERA DE CRÉDITOS VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO,0.0,0.304630289,4.794e-07,0.0,0.055735894,0.0,0.0,0.0,0.0,0.0442588946,0.0,0.0,0.0,0.0,0.0427949802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0518219979,0.0,0.0442588946,0.0,0.055735894
